date,y5y
2012-09-25,2.9142
2012-09-26,2.9595
2012-09-27,2.9847
2012-09-28,2.9499
2012-10-01,2.9567
2012-10-02,3.0036
2012-10-03,2.8533
2012-10-04,3.0798
2012-10-05,3.0925
2012-10-09,3.0843
2012-10-10,3.0152
2012-10-11,3.0027
2012-10-12,3.012
2012-10-15,3.0273
2012-10-16,3.0124
2012-10-17,3.0082
2012-10-18,2.9616
2012-10-19,3.1012
2012-10-22,3.1316
2012-10-23,3.1418
2012-10-24,3.1016
2012-10-25,3.1147
2012-10-26,3.0763
2012-10-29,3.0185
2012-10-30,2.958
2012-10-31,2.937
2012-11-01,2.938
2012-11-02,2.943
2012-11-05,2.973
2012-11-06,2.936
2012-11-07,3.0484
2012-11-08,3.0712
2012-11-09,3.0313
2012-11-13,3.0279
2012-11-14,3.0031
2012-11-15,2.9667
2012-11-16,2.9841
2012-11-19,2.9952
2012-11-20,2.9907
2012-11-21,3.0012
2012-11-23,3.004
2012-11-26,3.0094
2012-11-27,2.9975
2012-11-28,3.0284
2012-11-29,3.065
2012-11-30,3.0542
2012-12-03,3.0997
2012-12-04,3.102
2012-12-05,3.1106
2012-12-06,3.0951
2012-12-07,3.123
2012-12-10,3.1334
2012-12-11,3.1341
2012-12-12,3.1007
2012-12-13,3.0528
2012-12-14,3.014
2012-12-17,3.0392
2012-12-18,3.1064
2012-12-19,3.0729
2012-12-20,3.078
2012-12-21,3.0749
2012-12-24,3.069
2012-12-26,3.0714
2012-12-27,3.0507
2012-12-28,3.0162
2012-12-31,3.0444
2013-01-02,3.0567
2013-01-03,3.0702
2013-01-04,3.055
2013-01-07,3.098
2013-01-08,3.0674
2013-01-09,3.0424
2013-01-10,3.0918
2013-01-11,3.0878
2013-01-14,3.0812
2013-01-15,3.081
2013-01-16,3.04
2013-01-17,3.0698
2013-01-18,3.0708
2013-01-22,3.0208
2013-01-23,3.025
2013-01-24,3.0676
2013-01-25,3.0476
2013-01-28,3.1302
2013-01-29,3.1078
2013-01-30,3.0693
2013-01-31,3.1162
2013-02-01,3.0582
2013-02-04,3.0588
2013-02-05,3.051
2013-02-06,3.0386
2013-02-07,3.0588
2013-02-08,3.0656
2013-02-11,3.0644
2013-02-12,3.1204
2013-02-13,3.0318
2013-02-14,3.0502
2013-02-15,3.0112
2013-02-19,3.0142
2013-02-20,3.0606
2013-02-21,3.0458
2013-02-22,3.061
2013-02-25,3.071
2013-02-26,3.0668
2013-02-27,3.0228
2013-02-28,3.0546
2013-03-01,3.0316
2013-03-04,3.0556
2013-03-05,3.0416
2013-03-06,3.0636
2013-03-07,3.0696
2013-03-08,3.0284
2013-03-11,3.0424
2013-03-12,3.0179
2013-03-13,3.0142
2013-03-14,2.9481
2013-03-15,2.9962
2013-03-18,3.0072
2013-03-19,3.025
2013-03-20,3.008
2013-03-21,3.039
2013-03-22,3.0558
2013-03-25,3.0076
2013-03-26,2.975
2013-03-27,3.0405
2013-03-28,3.016
2013-04-01,2.9814
2013-04-02,3.0381
2013-04-03,2.9756
2013-04-04,2.9298
2013-04-05,2.9762
2013-04-08,2.91
2013-04-09,2.8901
2013-04-10,2.9778
2013-04-11,3.0118
2013-04-12,2.9858
2013-04-15,2.9942
2013-04-16,2.9566
2013-04-17,2.9279
2013-04-18,2.8402
2013-04-19,2.9038
2013-04-22,2.9602
2013-04-23,2.9985
2013-04-24,2.9735
2013-04-25,2.9331
2013-04-26,2.9572
2013-04-29,2.9432
2013-04-30,2.942
2013-05-01,2.9266
2013-05-02,2.882
2013-05-03,2.8282
2013-05-06,2.9014
2013-05-07,2.9098
2013-05-08,2.87
2013-05-09,2.9048
2013-05-10,2.9608
2013-05-13,2.9688
2013-05-14,2.9614
2013-05-15,2.89
2013-05-16,2.8416
2013-05-17,2.8576
2013-05-20,2.8376
2013-05-21,2.8758
2013-05-22,2.8368
2013-05-23,2.885
2013-05-24,2.908
2013-05-28,2.9126
2013-05-29,2.8758
2013-05-30,2.926
2013-05-31,2.8708
2013-06-03,2.8652
2013-06-04,2.8552
2013-06-05,2.8702
2013-06-06,2.8356
2013-06-07,2.7904
2013-06-10,2.7446
2013-06-11,2.741
2013-06-12,2.7936
2013-06-13,2.714
2013-06-14,2.787
2013-06-17,2.811
2013-06-18,2.789
2013-06-19,2.694
2013-06-20,2.654
2013-06-21,2.679
2013-06-24,2.748
2013-06-25,2.754
2013-06-26,2.788
2013-06-27,2.791
2013-06-28,2.744
2013-07-01,2.795
2013-07-02,2.854
2013-07-03,2.7236
2013-07-05,2.766
2013-07-08,2.764
2013-07-09,2.727
2013-07-10,2.703
2013-07-11,2.631
2013-07-12,2.74
2013-07-15,2.7705
2013-07-16,2.8275
2013-07-17,2.846
2013-07-18,2.899
2013-07-19,2.929
2013-07-22,2.941
2013-07-23,2.931
2013-07-24,2.895
2013-07-25,2.842
2013-07-26,2.915
2013-07-29,2.993
2013-07-30,3.012
2013-07-31,2.998
2013-08-01,2.916
2013-08-02,2.933
2013-08-05,2.969
2013-08-06,3.019
2013-08-07,3.02
2013-08-08,3.048
2013-08-09,3.061
2013-08-12,3.036
2013-08-13,3.012
2013-08-14,2.993
2013-08-15,2.944
2013-08-16,2.93
2013-08-19,2.881
2013-08-20,2.8479
2013-08-21,2.851
2013-08-22,2.8225
2013-08-23,2.808
2013-08-26,2.836
2013-08-27,2.85
2013-08-28,2.819
2013-08-29,2.739
2013-08-30,2.731
2013-09-03,2.74
2013-09-04,2.701
2013-09-05,2.711
2013-09-06,2.678
2013-09-09,2.697
2013-09-10,2.749
2013-09-11,2.744
2013-09-12,2.699
2013-09-13,2.704
2013-09-16,2.779
2013-09-17,2.837
2013-09-18,2.928
2013-09-19,2.9226
2013-09-20,2.948
2013-09-23,2.997
2013-09-24,2.918
2013-09-25,2.903
2013-09-26,2.901
2013-09-27,2.887
2013-09-30,2.9593
2013-10-01,2.908
2013-10-02,2.9279
2013-10-03,2.899
2013-10-04,2.886
2013-10-07,2.895
2013-10-08,2.885
2013-10-09,2.919
2013-10-10,2.891
2013-10-11,2.915
2013-10-15,2.893
2013-10-16,2.843
2013-10-17,2.842
2013-10-18,2.863
2013-10-21,2.91
2013-10-22,2.902
2013-10-23,2.891
2013-10-24,2.896
2013-10-25,2.931
2013-10-28,2.91
2013-10-29,2.902
2013-10-30,2.886
2013-10-31,2.866
2013-11-01,2.847
2013-11-04,2.8972
2013-11-05,2.9171
2013-11-06,2.914
2013-11-07,2.88
2013-11-08,2.7724
2013-11-12,2.7784
2013-11-13,2.8465
2013-11-14,2.8415
2013-11-15,2.9293
2013-11-18,2.908
2013-11-19,2.934
2013-11-20,2.915
2013-11-21,2.8465
2013-11-22,2.888
2013-11-25,2.9315
2013-11-26,2.9181
2013-11-27,2.922
2013-11-29,2.8639
2013-12-02,2.9205
2013-12-03,2.9262
2013-12-04,2.827
2013-12-05,2.8389
2013-12-06,2.835
2013-12-09,2.859
2013-12-10,2.855
2013-12-11,2.888
2013-12-12,2.7985
2013-12-13,2.862
2013-12-16,2.905
2013-12-17,2.9415
2013-12-18,2.986
2013-12-19,2.822
2013-12-20,2.8965
2013-12-23,2.974
2013-12-24,2.7742
2013-12-26,2.919
2013-12-27,2.936
2013-12-30,2.8405
2013-12-31,2.9368
2014-01-02,2.947
2014-01-03,2.9254
2014-01-06,2.866
2014-01-07,2.892
2014-01-08,2.926
2014-01-09,2.941
2014-01-10,2.926
2014-01-13,2.9325
2014-01-14,2.933
2014-01-15,2.926
2014-01-16,2.906
2014-01-17,2.914
2014-01-21,2.9172
2014-01-22,2.9093
2014-01-23,2.862
2014-01-24,2.8856
2014-01-27,2.87
2014-01-28,2.859
2014-01-29,2.851
2014-01-30,2.8617
2014-01-31,2.8387
2014-02-03,2.841
2014-02-04,2.833
2014-02-05,2.835
2014-02-06,2.8474
2014-02-07,2.8444
2014-02-10,2.873
2014-02-11,2.8469
2014-02-12,2.8535
2014-02-13,2.848
2014-02-14,2.8312
2014-02-18,2.805
2014-02-19,2.812
2014-02-20,2.795
2014-02-21,2.8096
2014-02-24,2.828
2014-02-25,2.8322
2014-02-26,2.8382
2014-02-27,2.8132
2014-02-28,2.8476
2014-03-03,2.815
2014-03-04,2.832
2014-03-05,2.843
2014-03-06,2.878
2014-03-07,2.8681
2014-03-10,2.8495
2014-03-11,2.849
2014-03-12,2.8065
2014-03-13,2.8065
2014-03-14,2.8055
2014-03-17,2.8196
2014-03-18,2.8413
2014-03-19,2.8413
2014-03-20,2.8311
2014-03-21,2.822
2014-03-24,2.8349
2014-03-25,2.835
2014-03-26,2.835
2014-03-27,2.8148
2014-03-28,2.7942
2014-03-31,2.795
2014-04-01,2.8056
2014-04-02,2.8044
2014-04-03,2.8033
2014-04-04,2.8212
2014-04-07,2.8212
